secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,expiration,rate
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.261161
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.502031
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.571824
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.500102
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.602987
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.607356
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.643605
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.686812
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.740752
108105,2018-09-12,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.816482
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-14,0
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-17,0
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-19,0.30727
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-21,0.31817
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-24,0.457604
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-26,0.584223
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-09-28,0.657746
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-01,0.715291
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-03,0.721502
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-05,0.75627
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-08,0.818725
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-10,1.058044
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-12,1.017384
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-15,1.03271
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-17,1.038898
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-19,0.985918
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-26,0.917933
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-10-31,0.980673
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-11-02,0.959054
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-11-09,1.224712
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-11-16,1.478938
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-11-23,1.441343
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.566556
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.592848
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.406409
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.355058
